lat,lon,name
50.875233,4.700892,Kangxi-Verbiest Hemelglobe
50.875284,4.714744,Gevleugeld beest op de hoek va
50.875343,4.70341,Kamerood Sesteg
50.875367,4.707788,Leo XIII Seminarie 1895-1909
50.875375,4.687181,Mariapark
50.875386,4.702877,Toren Oude Stadsmuur
50.875434,4.717062,Bijen hotel
50.875485,4.701785,Park Podium
50.875532,4.686624,Vita
50.875561,4.698781,Foto City 11
50.875594,4.683732,WW2 Commemorative Sign
50.875623,4.704751,Flamingo Mural
50.875637,4.706671,Standbeeld van Kardinaal Mercier
50.87577,4.695625,Aan hen die vielen voor het algemeen stemrecht.
50.875786,4.700255,Boekhandel Antiquariaat Procopius
50.875821,4.698444,Ite Ad Joseph
50.87584,4.719743,Basketplein Belle Vue
50.875852,4.70812,Alma 1 Mural
50.875858,4.704266,Fishing and Dining
50.875884,4.696086,Irish College 1607
50.875885,4.702864,Big Ananas
50.875923,4.687451,North Kartuis Gate
50.875936,4.679012,Shattered Maria
50.875943,4.694316,Playground Janseniusspeelplein
50.875981,4.719738,Pingpongtafel Park Belle-Vue
50.875986,4.697545,Potekes Clock
50.876048,4.702984,Interactief informatiebord
50.876057,4.678497,Onbevlekt Hart van Mariakerk
50.876087,4.687676,Maria Boven Deur
50.87609,4.704559,Kris Peeters
50.876092,4.70712,wooden house
50.876107,4.694056,Voetbal- en basketbalveld janseniusplein
50.876151,4.681437,Kribbepad Murals
50.876175,4.702116,Maurits Sabbebibliotheek
50.876197,4.689683,Grasmuspark goal East
50.8762,4.683684,Pigs on Wood
50.876215,4.704252,Vierge à l'Enfant
50.876218,4.709788,the green man
50.876228,4.693446,Stadsplan Refugehof
50.876231,4.699189,Collegium Dimei
50.876263,4.696697,Hollands College
50.876327,4.697899,Herenhuis Rega
50.876402,4.724252,Boy Mural
50.876451,4.700489,Fronske of Reneeke
50.876458,4.693293,Kapel Refugehof
50.876497,4.702659,Betonnen Paal
50.876548,4.705789,Abraham Stadspark
50.876574,4.689571,Grasmushof
50.876653,4.719879,Rood Veloken
50.876656,4.694974,Janseniustoren
